"","name","width","area_ha","prop.hs","q","q.name"
"1","1984BADGER",0,82.8900074379891,1,-0.00920423503223648,"-0.0092"
"2","1984BADGER",10,65.365308966422,0.788578876836542,-0.00920423503223648,"-0.0092"
"3","1984BADGER",20,51.1363614121112,0.616918287169498,-0.00920423503223648,"-0.0092"
"4","1984BADGER",30,40.1755119824615,0.484684622721469,-0.00920423503223648,"-0.0092"
"5","1984BADGER",40,32.2127890029888,0.388620896518649,-0.00920423503223648,"-0.0092"
"6","1984BADGER",50,26.7801782817798,0.323080900937478,-0.00920423503223648,"-0.0092"
"7","1984BADGER",60,22.2148350517602,0.26800377679275,-0.00920423503223648,"-0.0092"
"8","1984BADGER",70,18.8636248731579,0.227574172764672,-0.00920423503223648,"-0.0092"
"9","1984BADGER",80,16.3740620337279,0.197539637645436,-0.00920423503223648,"-0.0092"
"10","1984BADGER",90,14.3034326624879,0.172559191446429,-0.00920423503223648,"-0.0092"
"11","1984BADGER",100,12.5517657955929,0.151426766428789,-0.00920423503223648,"-0.0092"
"12","1984BADGER",110,10.9603075690248,0.13222712734372,-0.00920423503223648,"-0.0092"
"13","1984BADGER",120,9.54659055098581,0.115171790256235,-0.00920423503223648,"-0.0092"
"14","1984BADGER",130,8.25416081798428,0.0995796848511482,-0.00920423503223648,"-0.0092"
"15","1984BADGER",140,7.04576194365077,0.0850013428810679,-0.00920423503223648,"-0.0092"
"16","1984BADGER",150,5.9183863218702,0.0714004800433612,-0.00920423503223648,"-0.0092"
"17","1984BADGER",160,4.87021641789044,0.0587551692709631,-0.00920423503223648,"-0.0092"
"18","1984BADGER",170,3.89880976565204,0.0470359442128025,-0.00920423503223648,"-0.0092"
"19","1984BADGER",180,3.01376865234505,0.0363586485934349,-0.00920423503223648,"-0.0092"
"20","1984BADGER",190,2.24086818000595,0.0270342378926962,-0.00920423503223648,"-0.0092"
"21","1984BADGER",200,1.60210076952871,0.0193280326428643,-0.00920423503223648,"-0.0092"
"22","1984BADGER",210,1.07814891498231,0.0130069829682291,-0.00920423503223648,"-0.0092"
"23","1984BADGER",220,0.653781181311997,0.00788733408910716,-0.00920423503223648,"-0.0092"
"24","1984BADGER",230,0.341767178392865,0.00412314088219312,-0.00920423503223648,"-0.0092"
"25","1984BADGER",240,0.124494661041867,0.00150192604500612,-0.00920423503223648,"-0.0092"
"26","1984BADGER",250,0.0054591239880937,6.58598564148729e-05,-0.00920423503223648,"-0.0092"
"27","1984BADGER",260,0,0,-0.00920423503223648,"-0.0092"
"28","1985CAENF00000066",0,43.7400168609176,1,-0.00747139547506703,"-0.0075"
"29","1985CAENF00000066",10,37.7033150367965,0.861986751323935,-0.00747139547506703,"-0.0075"
"30","1985CAENF00000066",20,32.3285731030165,0.739107467786612,-0.00747139547506703,"-0.0075"
"31","1985CAENF00000066",30,27.6806477344835,0.632844926020516,-0.00747139547506703,"-0.0075"
"32","1985CAENF00000066",40,23.5957364492638,0.539454214759276,-0.00747139547506703,"-0.0075"
"33","1985CAENF00000066",50,19.8872551045931,0.454669580211404,-0.00747139547506703,"-0.0075"
"34","1985CAENF00000066",60,16.8072729791623,0.384253920902803,-0.00747139547506703,"-0.0075"
"35","1985CAENF00000066",70,14.0847915840812,0.322011571894618,-0.00747139547506703,"-0.0075"
"36","1985CAENF00000066",80,11.6762377275345,0.266946347201055,-0.00747139547506703,"-0.0075"
"37","1985CAENF00000066",90,9.53516581553208,0.217996390944511,-0.00747139547506703,"-0.0075"
"38","1985CAENF00000066",100,7.63246247499189,0.174496102716678,-0.00747139547506703,"-0.0075"
"39","1985CAENF00000066",110,5.99006687306649,0.136947063649139,-0.00747139547506703,"-0.0075"
"40","1985CAENF00000066",120,4.47209321356429,0.102242603787384,-0.00747139547506703,"-0.0075"
"41","1985CAENF00000066",130,3.06421631111955,0.0700552155904054,-0.00747139547506703,"-0.0075"
"42","1985CAENF00000066",140,1.7521587089641,0.0400584827055629,-0.00747139547506703,"-0.0075"
"43","1985CAENF00000066",150,0.86053115760519,0.0196737728826549,-0.00747139547506703,"-0.0075"
"44","1985CAENF00000066",160,0.427669362466883,0.0097775308095277,-0.00747139547506703,"-0.0075"
"45","1985CAENF00000066",170,0.157978108411561,0.00361175234371519,-0.00747139547506703,"-0.0075"
"46","1985CAENF00000066",180,0.00324717518034943,7.42380870742377e-05,-0.00747139547506703,"-0.0075"
"47","1985CAENF00000066",190,0,0,-0.00747139547506703,"-0.0075"
"48","1985CAINF00000070",0,5.13000383126365,1,-0.0276911589413136,"-0.0277"
"49","1985CAINF00000070",10,3.09729708273583,0.603761163658408,-0.0276911589413136,"-0.0277"
"50","1985CAINF00000070",20,1.52030770798972,0.296356057031488,-0.0276911589413136,"-0.0277"
"51","1985CAINF00000070",30,0.511414756539241,0.0996909112275004,-0.0276911589413136,"-0.0277"
"52","1985CAINF00000070",40,0.080202331958597,0.015633971161936,-0.0276911589413136,"-0.0277"
"53","1985CAINF00000070",50,0,0,-0.0276911589413136,"-0.0277"
"54","1985CALNF00000031",0,42.7500028669504,1,-0.0108948558658948,"-0.0109"
"55","1985CALNF00000031",10,35.4833404549413,0.830019604100964,-0.0108948558658948,"-0.0109"
"56","1985CALNF00000031",20,28.8203301618993,0.674159724657703,-0.0108948558658948,"-0.0109"
"57","1985CALNF00000031",30,22.7579798454747,0.532350370040995,-0.0108948558658948,"-0.0109"
"58","1985CALNF00000031",40,17.4037609278504,0.407105491478342,-0.0108948558658948,"-0.0109"
"59","1985CALNF00000031",50,12.8451622370581,0.300471611125635,-0.0108948558658948,"-0.0109"
