VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,MSI,AWMSI,MPFD,AWMPFD,max_tmmx,max_tmmn,min_rmax,max_bi
1988CALNF00000155,153,1988CALNF00000155,1988,no,Forest,USF,LNF,85.0,375,235,62.5,226,19880828,19880901.0,0.00260008422001415,0.01099239472293838,0.0049165721955642325,1.2738531095042402,1.2607689386102052,31.668878173828148,10.956689453125023,44.104129791259766,72.602996826171875
1988CLEARINGHOUSE,163,CLEARHOUSE,1988,no,Forest,USF,STF,93.99,1021,36,3.5,10,19880702,19880708.0,0.017751411612336763,0.06863463642220127,0.0310889326281892,1.367091571759449,1.3482224879612108,32.57015380859377,14.629144287109398,52.961585998535156,57.168373107910156
1988EAST_LECONTE,166,EAST LECONTE,1988,yes,Forest,NPS,YNP,0.0,1519,20,1.3,11,19880620,19881119.0,0.017779778315150957,0.09513780610351605,0.04030302454181325,1.3837467557511585,1.3466379807003468,29.957513427734398,13.769616699218773,29.199281692504883,73.52589416503906
1988ECHO,167,ECHO,1988,yes,Forest,NPS,YNP,0.0,577,35,6.0,7,19880621,19881110.0,0.025898476356824046,0.08580449107901982,0.04675324804288747,1.3795287387404016,1.3675714501824463,25.184655761718773,9.704187011718773,28.777006149291992,64.92073059082031
1988ELBOW,170,ELBOW,1988,yes,Forest,NPS,YNP,0.0,184,3,1.7,3,19880810,19881110.0,0.018484734556514948,0.028571427085191586,0.028571427085191586,1.3134897803060155,1.3134897803060155,23.360467529296898,7.727777099609398,31.71682357788086,66.3927001953125
1988GARNET,172,GARNET,1988,no,Forest,USF,SNF,100.0,924,33,3.5,13,19880829,19880902.0,0.015611695241360881,0.053927321799554104,0.029670342957825786,1.3551194777124191,1.3319587493135476,33.2734313964844,18.680810546875023,39.816532135009766,56.521175384521484
1988HERMIT,175,HERMIT,1988,no,Forest,USF,SHF,97.71,3391,1158,34.1,356,19880928,19881002.0,0.004819125290814207,0.07492975384138953,0.012351971219295642,1.3741496637696191,1.3427222634228233,30.132714843750023,10.601617431640648,48.726654052734375,53.26416015625
1988LETTS,178,LETTS,1988,no,Forest,USF,MNF,96.15,1340,193,14.4,72,19881205,19881212.0,0.008722330247787423,0.07272444911138701,0.021693123481665556,1.3706298318290435,1.3336732766140706,18.354791259765648,8.025384521484398,38.59652328491211,41.92768096923828
1988LIGHTNING97,179,LIGHTNING #97 (BISON),1988,no,Forest,CDF,LMU,20.45,1386,769,55.5,689,19880810,19880817.0,0.0034184248086178985,0.08106907091803868,0.008617885688126312,1.37240051740288,1.3603532505113158,29.232629394531273,8.312646484375023,74.3498764038086,64.17539978027344
1988OBELISK,181,OBELISK,1988,no,Forest,USF,SNF,99.91,3045,289,9.5,36,19880724,19880801.0,0.01324417441847,0.07113752941349269,0.027472869763244884,1.3666088729552426,1.33802050267068,24.665002441406273,13.642083740234398,47.4439811706543,49.35527038574219
1988QUARTZITE,183,QUARTZITE,1988,yes,Forest,NPS,YNP,0.0,248,42,17.1,11,19880902,19881110.0,0.019263056618571885,0.06464868064826498,0.034961075132074346,1.3682921107823303,1.3533158278523694,25.055017089843773,7.201470947265648,32.95595169067383,65.2968978881836
