VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,q,TMAX,MAXTMIN,T_dist,MAX_WSF5,W_dist,max_tmmx,max_tmmn,min_rmax,max_bi,sdc_BA90_resid,sdc_BA90_maxtmmx_resid,sdc_BA90_maxbi_resid,lat,long
1986DEER,59,DEER,1986,no,Forest,USF,SNF,100.0,5349,1204,22.5,206,19860909,19860920.0,0.00611190942795152,20.0,6.1,14.5,NA,NA,28.070306396484398,11.642968750000023,39.0609130859375,58.54458236694336,-0.16771839082111634,-0.2391957680311851,-0.18743422304512475,36.86678858,-118.92776799
1986GLACIER_POINT,61,GLACIER POINT,1986,no,Forest,NPS,YNP,0.0,278,122,43.8,98,19860627,19860701.0,0.00534442251634017,31.7,15.6,4.3,NA,NA,28.650292968750023,12.395959472656273,41.967044830322266,57.73493576049805,0.5746204443973877,0.505290357616251,0.5537737995643127,37.71562642,-119.56825247
1987ASSIST_PNF,71,ASSIST P.N.F.,1987,no,Forest,CDF,LMU,63.24,499,244,49.0,201,19870831,19870908.0,0.00322922930476037,35.0,15.6,13.8,NA,NA,33.72567138671877,15.939050292968773,39.24704360961914,75.07154083251953,0.28479767035013437,0.3374474933063695,0.2913838803498595,39.68486351,-121.07843592
1987BEAR,72,BEAR,1987,no,Forest,USF,SHF,97.58,2132,147,6.9,35,19870830,19870914.0,0.0118641101860774,40.0,14.4,18.5,NA,NA,39.74337158203127,15.718438720703148,51.445640563964844,64.66539001464844,-0.14640138959224808,0.07836289471737659,-0.15655354655445078,40.65126906,-123.39284092
1987BEARCAT,73,BEARCAT,1987,no,Forest,USF,KNF,94.96,1157,40,3.4,16,19870830,19870918.0,0.01596695219577,NA,NA,NA,NA,NA,40.1061950683594,16.162896728515648,52.40412521362305,58.602783203125,0.00657195743945849,0.24226116354353736,-0.0131851979484803,41.79920406,-122.84556233
1987BETTY_BLAKE,74,BETTY BLAKE,1987,yes,Forest,NPS,YNP,0.0,159,16,9.8,13,19870717,19871120.0,0.0146488291332706,37.2,19.4,11.1,NA,NA,27.581079101562523,13.397668457031273,25.2834415435791,85.646697998046875,0.1837801539702081,0.10749203215161492,0.20680442517123274,37.66009909,-119.64546782
1987BIG,75,BIG,1987,no,Forest,USF,TNF,72.3,427,37,8.6,18,19870831,19870906.0,0.00922448167301534,37.8,21.7,24.2,NA,NA,32.17705688476565,18.070550537109398,38.6934814453125,76.05903625488281,-0.32810092051153156,-0.2905658141697561,-0.32023614462365474,39.04308233,-120.55891179
1987BLAKE,76,BLAKE,1987,no,Forest,USF,SRF,99.5,1413,345,24.4,281,19870830,19870905.0,0.00413184005400445,NA,NA,NA,NA,NA,34.40627441406252,14.704034423828148,41.05104064941406,67.86932373046875,-0.4810471446117037,-0.3976331556594422,-0.4860140822293182,40.58716122,-123.55345096
1987CEDAR,78,CEDAR,1987,no,Forest,USF,MDF,83.26,283,29,10.3,10,19870901,19870912.0,0.018904558244924,34.4,14.4,5.2,NA,NA,29.267236328125023,13.027825927734398,39.405364990234375,65.87984466552734,0.45939850847751923,0.42433400634047336,0.4511892492646583,41.56741404,-120.21716601
1987CHAWANAKEE,79,CHAWANAKEE,1987,no,Forest,USF,SNF,100.0,713,48,6.7,12,19870622,19870626.0,0.018769696373898,NA,NA,NA,NA,NA,33.62014160156252,18.642633056640648,42.95486831665039,46.21198654174805,0.30409411484838833,0.37823588746263154,0.2647791512985205,37.21657055,-119.31236369
1987CHINA,80,CHINA,1987,no,Hardwood,USF,SNF,50.95,126,10,7.8,7,19870830,19870901.0,NA,28.9,13.9,13.3,NA,NA,34.7679382324219,17.843438720703148,53.740882873535156,56.514312744140625,NA,NA,NA,37.39311423,-119.64481599
1987CHINA_KNF,81,CHINA,1987,no,Forest,USF,KNF,96.11,1332,112,8.4,25,19870830,19870907.0,0.0118799390008056,42.2,12.2,8.7,NA,NA,39.98052368164065,18.749688720703148,41.214630126953125,65.37039947509766,-0.08334102000977815,0.14640702289015442,-0.09236860142646448,41.82149076,-123.2737805
1987CHINA_SHF,82,CHINA,1987,no,Forest,USF,SHF,100.0,3696,726,19.6,380,19870830,19871013.0,0.00556141434552405,39.4,14.4,8.9,NA,NA,32.97390136718752,16.599786376953148,32.755165100097656,64.47223663330078,-0.38144419540541086,-0.33055754136060234,-0.3918129557833934,41.06269783,-123.15741401
1987CLARK,129,PLUMAS NF #531 (CLARK),1987,no,Forest,CDF,BTU,73.47,15861,5351,33.7,781,19870830,19870905.0,0.00370828677907718,35.6,16.1,25.2,NA,NA,29.548242187500023,17.085351562500023,31.112831115722656,74.1419906616211,-0.2064920891933832,-0.24796529813280552,-0.2014815986718585,40.11024791,-120.31731033
1987CLAVEY_CMPLX,83,CLAVEY 87 CMPLX,1987,no,Forest,USF,STF,98.1,3537,708,20.0,324,19870831,19871012.0,0.00616985988901007,33.9,23.9,15.2,NA,NA,33.2525573730469,17.344903564453148,28.602567672729492,63.902435302734375,-0.2611599654448548,-0.20364139685678187,-0.2724263757966214,37.87704688,-120.03729845
1987COLD,84,COLD,1987,no,Forest,USF,SHF,98.37,6678,387,5.8,96,19870830,19870911.0,0.0112507762581717,NA,NA,NA,NA,NA,36.65804443359377,17.622827148437523,40.63200759887695,69.849151611328125,-0.24474868198325805,-0.09530988043670084,-0.24671675846013558,40.53100859,-123.39537719
1987DOE,85,DOE,1987,no,Forest,USF,SHF,100.0,932,256,27.5,121,19870830,19870907.0,0.00612260519760728,33.9,11.7,14.4,NA,NA,29.746270751953148,15.036035156250023,42.89353942871094,50.294769287109375,0.039787009634394806,0.0067195890253641515,0.007069116870675676,41.18601094,-122.76102431
1987DOG_CREEK,86,DOG CREEK,1987,yes,Forest,NPS,KNP,0.0,170,11,6.3,4,19870708,19871027.0,0.0226298369442311,29.4,16.1,35.1,NA,NA,26.451074218750023,12.807214355468773,28.66457176208496,71.89899444580078,0.47465913951293204,0.3725467741064806,0.4759338632605748,36.95778886,-118.67862495
1987EAST,87,EAST,1987,no,Forest,USF,SHF,97.44,4643,932,20.1,584,19870830,19870907.0,0.00208613532706111,41.7,13.3,14.5,NA,NA,36.28334960937502,16.612786865234398,44.739784240722656,63.757572174072266,-1.3414077274199239,-1.209336671040994,-1.3529023631409602,40.85600063,-123.01004753
1987ELK_LICK,88,ELK LICK,1987,no,Forest,USF,KNF,100.0,448,28,6.3,12,19870830,19870907.0,0.0144359852649516,37.8,19.8,15.9,NA,NA,37.5390563964844,18.528009033203148,36.60459899902344,66.676605224609375,0.02511395125048764,0.19595599857419177,0.018135875576344013,41.84954781,-123.58049205
1987EVER,89,EVER,1987,no,Forest,USF,STF,92.16,215,161,74.8,160,19870828,19870829.0,0.00254196906766541,NA,NA,NA,NA,NA,31.492883300781273,12.866693115234398,55.31429672241211,59.940372467041016,1.1071989900561978,1.0901908913516218,1.0900538816488967,37.84773875,-119.84619358
1987FAY,90,FAY,1987,no,Forest,USF,SQF,81.37,4640,1147,24.7,664,19870830,19870905.0,0.00281403632664553,38.9,22.8,13.7,NA,NA,26.692956542968773,12.274041748046898,55.816734313964844,64.33219909667969,-0.8528047016573481,-0.959441390371834,-0.8633591673179049,35.76093439,-118.28978082
1987FLUME,92,FLUME,1987,no,Forest,USF,SHF,100.0,5277,813,15.4,198,19870830,19870910.0,0.00640504936585152,NA,NA,NA,NA,NA,36.60823974609377,16.364038085937523,52.118446350097656,61.50008773803711,-0.4130458382892093,-0.27030027237314114,-0.4281407158427369,40.40005692,-123.33279989
1987FORT_COPPER,93,FORT COPPER,1987,no,Forest,USF,KNF,94.59,14703,2842,19.3,290,19870830,19871007.0,0.00582756584187584,42.2,12.2,18.0,NA,NA,36.2299743652344,18.712915039062523,27.818387985229492,74.74076080322266,-0.34704267616869205,-0.2158299667748103,-0.3411864611885862,41.90761521,-123.20785176
1987FOUTS,94,FOUTS,1987,no,Forest,USF,MNF,91.72,6965,1752,25.2,399,19870901,19870914.0,0.00536071142909847,40.6,20.0,20.8,NA,NA,31.526086425781273,18.285760498046898,37.29117965698242,58.61002731323242,-0.18775217977199926,-0.17569578145771553,-0.20734574818926382,39.35420955,-122.75956621
