,name,width,area_ha,prop.hs
138,1985DELTA,360,95.98189195,0.233413286
139,1985DELTA,370,91.12710234,0.22160718
140,1985DELTA,380,86.38269232,0.2100695
141,1985DELTA,390,81.73740769,0.198772878
142,1985DELTA,400,77.18992225,0.187714089
143,1985DELTA,410,72.73238787,0.176874047
144,1985DELTA,420,68.36136016,0.166244376
145,1985DELTA,430,64.07737458,0.155826378
146,1985DELTA,440,59.87722639,0.14561226
147,1985DELTA,450,55.76119606,0.135602703
148,1985DELTA,460,51.73085587,0.125801532
149,1985DELTA,470,47.78416906,0.116203793
150,1985DELTA,480,43.93877309,0.106852378
151,1985DELTA,490,40.19715578,0.097753337
152,1985DELTA,500,36.55879156,0.088905391
153,1985DELTA,510,33.02810269,0.080319296
154,1985DELTA,520,29.5984655,0.071978943
155,1985DELTA,530,26.26223512,0.06386574
156,1985DELTA,540,23.12126363,0.056227378
157,1985DELTA,550,20.21300682,0.049154942
158,1985DELTA,560,17.54635342,0.042670049
159,1985DELTA,570,15.0482445,0.03659503
160,1985DELTA,580,12.71479178,0.03092043
161,1985DELTA,590,10.52435558,0.025593624
162,1985DELTA,600,8.477591702,0.020616207
163,1985DELTA,610,6.845765847,0.016647856
164,1985DELTA,620,5.541579485,0.013476274
165,1985DELTA,630,4.40387416,0.010709549
166,1985DELTA,640,3.397096766,0.00826122
167,1985DELTA,650,2.520652162,0.006129841
168,1985DELTA,660,1.763638073,0.004288898
169,1985DELTA,670,1.113096219,0.00270688
170,1985DELTA,680,0.620579198,0.001509154
171,1985DELTA,690,0.281411975,0.000684351
172,1985DELTA,700,0.0831212,0.000202138
173,1985DELTA,710,0.002799841,6.81E-06
174,1985DELTA,720,0,0
175,1985MAMMOTH,0,29.87999529,1
176,1985MAMMOTH,10,25.46642717,0.8522902
177,1985MAMMOTH,20,21.69338178,0.726016907
178,1985MAMMOTH,30,18.44828312,0.617412517
179,1985MAMMOTH,40,15.49658562,0.518627445
180,1985MAMMOTH,50,12.7644132,0.427189264
181,1985MAMMOTH,60,10.27337668,0.343821228
182,1985MAMMOTH,70,7.968213546,0.266673855
183,1985MAMMOTH,80,5.947596932,0.19904946
184,1985MAMMOTH,90,4.332396958,0.144993228
185,1985MAMMOTH,100,2.94829437,0.098671179
186,1985MAMMOTH,110,1.806207091,0.060448707
187,1985MAMMOTH,120,0.921936649,0.030854645
188,1985MAMMOTH,130,0.305110515,0.010211197
189,1985MAMMOTH,140,0.005503727,0.000184194
190,1985MAMMOTH,150,0,0
191,1985RICH_BAR,0,1384.290162,1
192,1985RICH_BAR,10,1167.55814,0.843434543
193,1985RICH_BAR,20,982.2990338,0.709604865
194,1985RICH_BAR,30,830.4310978,0.599896699
195,1985RICH_BAR,40,710.3167617,0.513127075
196,1985RICH_BAR,50,613.7910361,0.443397673
197,1985RICH_BAR,60,541.1846956,0.390947441
198,1985RICH_BAR,70,469.4823454,0.339150244
199,1985RICH_BAR,80,418.123327,0.302048905
200,1985RICH_BAR,90,367.5767929,0.265534498
201,1985RICH_BAR,100,322.503748,0.232974095
202,1985RICH_BAR,110,281.50153,0.203354425
203,1985RICH_BAR,120,245.4696722,0.177325303
204,1985RICH_BAR,130,213.7483751,0.154410095
205,1985RICH_BAR,140,185.7232605,0.134164979
206,1985RICH_BAR,150,160.9417576,0.116263022
