"","name","width","area_ha","prop.hs","q","q.name"
"1","1984YNP_023",0,10.6200017074501,1,-0.0271335450286818,"-0.0271"
"2","1984YNP_023",10,6.00596421596452,0.56553326274432,-0.0271335450286818,"-0.0271"
"3","1984YNP_023",20,3.05965620152147,0.288103174161927,-0.0271335450286818,"-0.0271"
"4","1984YNP_023",30,1.55942897723193,0.146838863136713,-0.0271335450286818,"-0.0271"
"5","1984YNP_023",40,0.706845243025847,0.0665579217873366,-0.0271335450286818,"-0.0271"
"6","1984YNP_023",50,0.219614389343275,0.0206793177056847,-0.0271335450286818,"-0.0271"
"7","1984YNP_023",60,0.0569703597521947,0.00536443979215455,-0.0271335450286818,"-0.0271"
"8","1984YNP_023",70,0,0,-0.0271335450286818,"-0.0271"
"9","1985BARTLETT",0,92.339998330468,1,-0.0111586734628874,"-0.0112"
"10","1985BARTLETT",10,71.9703634190988,0.779406158981398,-0.0111586734628874,"-0.0112"
"11","1985BARTLETT",20,55.0726447168177,0.596411584498006,-0.0111586734628874,"-0.0112"
"12","1985BARTLETT",30,42.3584215965284,0.458722356101149,-0.0111586734628874,"-0.0112"
"13","1985BARTLETT",40,33.0238043981398,0.357632715997608,-0.0111586734628874,"-0.0112"
"14","1985BARTLETT",50,25.7260830353452,0.278601727317302,-0.0111586734628874,"-0.0112"
"15","1985BARTLETT",60,20.2397281552004,0.219187010192117,-0.0111586734628874,"-0.0112"
"16","1985BARTLETT",70,15.8174136037287,0.171295363761228,-0.0111586734628874,"-0.0112"
"17","1985BARTLETT",80,12.278648950058,0.132972159108288,-0.0111586734628874,"-0.0112"
"18","1985BARTLETT",90,9.32779250499429,0.101015731791675,-0.0111586734628874,"-0.0112"
"19","1985BARTLETT",100,6.94638529189877,0.0752261795266545,-0.0111586734628874,"-0.0112"
"20","1985BARTLETT",110,4.97759274403384,0.0539050555991991,-0.0111586734628874,"-0.0112"
"21","1985BARTLETT",120,3.56596095573858,0.038617728180768,-0.0111586734628874,"-0.0112"
"22","1985BARTLETT",130,2.75862728772912,0.0298746733550557,-0.0111586734628874,"-0.0112"
"23","1985BARTLETT",140,2.10026116901794,0.0227448690382416,-0.0111586734628874,"-0.0112"
"24","1985BARTLETT",150,1.52370449204946,0.0165010236040551,-0.0111586734628874,"-0.0112"
"25","1985BARTLETT",160,1.03406333645225,0.0111984335623607,-0.0111586734628874,"-0.0112"
"26","1985BARTLETT",170,0.642467601265069,0.00695763063548901,-0.0111586734628874,"-0.0112"
"27","1985BARTLETT",180,0.341608866638295,0.00369946797503438,-0.0111586734628874,"-0.0112"
"28","1985BARTLETT",190,0.125833738093803,0.00136272190133107,-0.0111586734628874,"-0.0112"
"29","1985BARTLETT",200,0,0,-0.0111586734628874,"-0.0112"
"30","1985BUCK",0,26.0999950636188,1,-0.0197746276624641,"-0.0198"
"31","1985BUCK",10,18.1523917814017,0.695494069525886,-0.0197746276624641,"-0.0198"
"32","1985BUCK",20,11.6662069189568,0.446981192545074,-0.0197746276624641,"-0.0198"
"33","1985BUCK",30,6.56732903189584,0.251621849578437,-0.0197746276624641,"-0.0198"
"34","1985BUCK",40,3.41802538296427,0.130958851702187,-0.0197746276624641,"-0.0198"
