"","name","X","width","area_ha","prop.hs","sdc","sdc.name"
"65","1985CALNF00000031",65,110,0.407847318,0.009540287,0.0108948558908885,"0.0109"
"66","1985CALNF00000031",66,120,0.082345262,0.001926205,0.0108948558908885,"0.0109"
"67","1985CALNF00000031",67,130,0.003566342,8.34e-05,0.0108948558908885,"0.0109"
"68","1985CALNF00000031",68,140,0,0,0.0108948558908885,"0.0109"
"69","1985CALNF00000069",69,0,129.3300396,1,0.00496931243193866,"0.0050"
"70","1985CALNF00000069",70,10,117.9729444,0.912185172,0.00496931243193866,"0.0050"
"71","1985CALNF00000069",71,20,107.5151597,0.831323953,0.00496931243193866,"0.0050"
"72","1985CALNF00000069",72,30,98.06234187,0.758233294,0.00496931243193866,"0.0050"
"73","1985CALNF00000069",73,40,89.4678144,0.691779069,0.00496931243193866,"0.0050"
"74","1985CALNF00000069",74,50,81.28465739,0.628505625,0.00496931243193866,"0.0050"
"75","1985CALNF00000069",75,60,73.4556272,0.567970345,0.00496931243193866,"0.0050"
"76","1985CALNF00000069",76,70,65.89158214,0.509483971,0.00496931243193866,"0.0050"
"77","1985CALNF00000069",77,80,58.62599817,0.453305345,0.00496931243193866,"0.0050"
"78","1985CALNF00000069",78,90,51.58878005,0.398892479,0.00496931243193866,"0.0050"
"79","1985CALNF00000069",79,100,44.93260834,0.347425923,0.00496931243193866,"0.0050"
"80","1985CALNF00000069",80,110,38.62743439,0.298673336,0.00496931243193866,"0.0050"
"81","1985CALNF00000069",81,120,32.82635734,0.253818505,0.00496931243193866,"0.0050"
"82","1985CALNF00000069",82,130,27.78503803,0.21483824,0.00496931243193866,"0.0050"
"83","1985CALNF00000069",83,140,23.32697287,0.180367786,0.00496931243193866,"0.0050"
"84","1985CALNF00000069",84,150,19.30269655,0.149251455,0.00496931243193866,"0.0050"
"85","1985CALNF00000069",85,160,15.72083896,0.121555974,0.00496931243193866,"0.0050"
"86","1985CALNF00000069",86,170,12.72156457,0.098365118,0.00496931243193866,"0.0050"
"87","1985CALNF00000069",87,180,10.3507649,0.080033726,0.00496931243193866,"0.0050"
"88","1985CALNF00000069",88,190,8.350114495,0.064564385,0.00496931243193866,"0.0050"
"89","1985CALNF00000069",89,200,6.66317835,0.051520732,0.00496931243193866,"0.0050"
"90","1985CALNF00000069",90,210,5.321874626,0.041149563,0.00496931243193866,"0.0050"
"91","1985CALNF00000069",91,220,4.239883454,0.032783439,0.00496931243193866,"0.0050"
"92","1985CALNF00000069",92,230,3.350290307,0.025904966,0.00496931243193866,"0.0050"
"93","1985CALNF00000069",93,240,2.572055289,0.019887532,0.00496931243193866,"0.0050"
"94","1985CALNF00000069",94,250,1.907286104,0.014747433,0.00496931243193866,"0.0050"
"95","1985CALNF00000069",95,260,1.343229544,0.01038606,0.00496931243193866,"0.0050"
"96","1985CALNF00000069",96,270,0.88886035,0.006872807,0.00496931243193866,"0.0050"
"97","1985CALNF00000069",97,280,0.53817946,0.004161287,0.00496931243193866,"0.0050"
