"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"338",315,"2008GRANITE","GRANITE",2008,"no","Forest",1,"USF","SHF",100,275,33,12,11,33,98.6,11.8,5,1.8,15.1,0,0,0,0.072,0.104,0.081,0.074,0,NA,0.027,0,0.072,0.104,NA,2,0.072,0.104,0.072,0.104,0,NA,0.027,0,6.61,5,0.09,196.595,12.987,-0.00651790756843218
"339",454,"2008GROUSE","GROUSE",2008,"no","Forest",2,"USF","MNF",NA,2611,176,6.7,6,130,73.8,5,51.7,2,29.3,13.4,0.5,7.6,NA,NA,0.947,0.455,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA,0.755,0.688,NA,NA,0.42,NA,4.191,42,0.315,471.438,19.76,-0.00566407091296655
"340",316,"2008GULCH","GULCH",2008,"no","Forest",2,"USF","SHF",97,1165,600,51.5,51,449,74.8,38.5,211.7,18.2,35.3,54.9,4.7,9.1,0.703,0.507,0.734,0.334,0.677,0.421,0.395,0.384,0.703,0.507,0.507,4,0.703,0.507,0.703,0.507,0.67,0.483,0.395,0.384,26.1,23,0.45,359.164,93.742,-0.00302002686820206
"341",317,"2008HALF","HALF",2008,"no","Forest",2,"USF","SRF",93,6184,105,1.7,1,27,25.8,0.4,0.6,0,0.6,0,0,0,1.205,0.869,1.802,0.82,1.488,0.925,0.805,0.757,1.205,0.869,NA,4,1.205,0.869,1.205,0.869,1.254,0.905,0.666,0.694,1.84,57,0.54,220.829,4.069,-0.0172864421845742
"343",319,"2008HONEYBEE","HONEYBEE",2008,"yes","Forest",2,"USF","INF",100,563,185,32.8,32,77,42,13.8,14.7,2.6,8,0,0,0,0.857,0.78,0.934,0.449,0.837,0.604,0.545,0.528,1.15,0.83,0.83,4,1.15,0.83,1.15,0.83,1.113,0.803,NA,0.634,11.53,16,0.81,183.519,21.162,-0.00789500269627888
"344",320,"2008IRON","IRON,HARVEY,SLIDES,THOMES,VINEGAR",2008,"no","Forest",2,"USF","MNF",97,21310,1723,8.1,8,347,20.1,1.6,345.6,1.6,20.1,63.9,0.3,3.7,1.686,0.867,1.869,0.752,1.725,0.829,0.78,0.761,2.229,0.897,0.897,12,2.229,0.897,1.951,0.814,1.942,0.81,0.791,0.783,5.56,310,0.54,551.935,30.671,-0.0053092725702905
"345",321,"2008IRONSIDE","IRONSIDE",2008,"no","Forest",2,"USF","SHF",100,5350,189,3.5,3,30,15.6,0.6,17.1,0.3,9,0,0,0,1.303,0.94,1.689,0.769,1.447,0.899,0.761,0.723,1.681,0.938,NA,6,1.681,0.938,1.681,0.938,1.704,0.951,0.798,0.806,2.6,73,0.63,218.323,5.666,-0.0109144763658451
"346",322,"2008JAKE","JAKE",2008,"no","Forest",2,"USF","KNF",100,15649,2518,16.1,16,409,16.3,2.6,341.9,2.2,13.6,83.2,0.5,3.3,1.923,0.988,2.139,0.861,1.999,0.961,0.867,0.856,2.55,0.92,0.92,16,2.55,0.92,2.55,0.92,2.575,0.929,0.907,0.911,4.43,568,0.54,460.803,20.426,-0.00736670888447297
"347",323,"2008LIME","LIME",2008,"no","Forest",2,"USF","SHF",91,10898,621,5.7,5,63,10.1,0.6,34.8,0.3,5.6,4.7,0,0.7,1.492,0.927,2.002,0.869,1.734,0.968,0.846,0.814,1.692,0.869,0.869,7,1.692,0.869,1.692,0.869,1.764,0.907,0.776,0.806,2.09,297,0.45,283.744,5.937,-0.0124528585961707
"349",456,"2008MILL_MNF","MILL",2008,"no","Forest",2,"USF","MNF",NA,1238,51,4.1,4,22,42.3,1.7,2.8,0.2,5.5,0,0,0,NA,NA,1.366,0.702,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA,0.681,0.983,NA,NA,0.488,NA,1.649,31,0.54,230.168,3.796,-0.0144068153498672
"350",324,"2008MINERS","MINERS",2008,"no","Forest",2,"USF","SHF",99,10346,962,9.3,9,107,11.1,1,120,1.2,12.5,20.8,0.2,2.2,1.664,0.929,1.978,0.825,1.774,0.912,0.825,0.8,2.27,0.946,0.946,11,2.27,0.946,2.27,0.946,2.319,0.967,0.882,0.895,3.35,287,0.54,324.359,10.876,-0.0087981318248569
"351",457,"2008MONKEYROCK","MONKEY ROCK",2008,"no","Forest",2,"USF","MNF",NA,783,51,6.5,6,35,68,4.4,2,0.3,4,0,0,0,NA,NA,0.956,0.492,NA,NA,0.487,NA,NA,NA,NA,NA,NA,NA,0.627,0.904,NA,NA,0.435,NA,3.396,15,0.9,247.998,8.422,-0.0110191981778056
"352",325,"2008NORTHMOUNTAIN","NORTH MOUNTAIN",2008,"no","Forest",2,"USF","STF",72,1207,163,13.5,13,62,37.8,5.1,20.2,1.7,12.4,0.5,0,0.3,1.274,0.919,1.559,0.71,1.326,0.824,0.735,0.696,1.434,0.891,0.891,5,1.434,0.891,1.434,0.891,1.425,0.885,0.734,0.725,3.47,47,0.63,274.875,9.543,-0.00832178209589456
"353",326,"2008OLIVER","OLIVER",2008,"no","Forest",1,"USF","SNF",95,1138,112,9.8,9,47,41.9,4.1,10.9,1,9.8,0.5,0,0.5,1.285,0.927,1.611,0.733,1.332,0.827,0.742,0.694,1.285,0.927,0.927,4,1.285,0.927,1.285,0.927,1.273,0.918,0.699,0.688,2.6,43,0.45,281.665,7.322,-0.0100233484023965
"354",458,"2008ONION2","ONION2",2008,"no","Forest",2,"USF","LNF",NA,2145,386,18,17,137,35.4,6.4,79.8,3.7,20.7,21.4,1,5.5,NA,NA,1.895,0.79,NA,NA,0.804,NA,NA,NA,NA,NA,NA,NA,1.771,0.91,NA,NA,0.797,NA,4.384,88,0.54,370.174,16.23,-0.0066308584436784
"355",327,"2008PANTHER_MERRILL_HAYPRESS","PANTHER, MERRILL, HAYPRESS",2008,"no","Forest",2,"USF","KNF",100,28457,7333,25.8,25,2200,30,7.7,2649.7,9.3,36.1,1344.2,4.7,18.3,1.993,0.907,1.753,0.705,1.663,0.8,0.748,0.738,2.724,0.809,0.809,29,2.481,0.745,2.373,0.72,2.369,0.719,0.785,0.779,9.12,804,0.63,930.619,84.879,-0.0027107380786221
"356",328,"2008PEAVINE","PEAVINE",2008,"no","Forest",2,"USF","TNF",70,259,3,1,1,2,83.3,0.9,0,0,0,0,0,0,0,NA,0.534,0.486,0,NA,0.287,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.9,3,0.36,106.771,0.961,-0.0229837732009052
"357",329,"2008PIUTE","PIUTE",2008,"no","Forest",2,"USF","SQF",89,15041,7852,52.2,52,5373,68.4,35.7,3516.2,23.4,44.8,1764.1,11.7,22.5,1.068,0.514,0.671,0.27,0.615,0.296,0.256,0.243,1.407,0.497,0.497,17,1.212,0.437,0.73,0.285,0.702,0.274,0.258,0.245,25.91,303,0.45,1198.667,310.63,-0.0021681941253348
"358",330,"2008RICH","RICH",2008,"no","Forest",2,"USF","PNF",89,2594,773,29.8,29,658,85.1,25.4,379.9,14.6,49.2,209.8,8.1,27.1,0.569,0.411,0.648,0.295,0.568,0.353,0.27,0.249,0.569,0.411,0.411,4,0.569,0.411,0.569,0.411,0.539,0.389,0.267,0.247,14.05,55,0.72,623.842,87.659,-0.00251595887517992
"359",331,"2008SCOTCH","SCOTCH, SOUTH FREY",2008,"no","Forest",2,"USF","PNF",92,10421,701,6.7,6,55,7.8,0.5,43.8,0.4,6.2,1.1,0,0.2,1.483,0.921,1.815,0.788,1.585,0.885,0.787,0.752,2.054,0.935,0.935,9,2.054,0.935,2.054,0.935,2.094,0.953,0.856,0.868,3.08,228,0.63,263.316,8.098,-0.0113095053430102
