"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"131",122,"1992DOME","DOME",1992,"no","Forest",1,"NPS","YNP",0,100,15,14.9,14,7,45.2,6.7,0,0,0,0,0,0,0.688,0.993,0.837,0.762,0.692,0.998,0.538,0.498,0.688,0.993,NA,2,0.688,0.993,0.688,0.993,0.692,0.998,0.495,0.498,3.73,4,3.78,61.446,2.295,-0.0183428790265961
"133",419,"1992MUD","MUD FIRE",1992,"no","Forest",1,"CDF","LMU",NA,311,205,66,66,205,100,66,87.4,28.1,42.6,20.2,6.5,9.8,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,205.47,1,205.47,0,0,-0.0027377066540257
"134",124,"1992OSTRANDER","OSTRANDER",1992,"yes","Forest",1,"NPS","YNP",0,165,6,3.8,3,6,88.6,3.4,0,0,0,0,0,0,0.355,0.513,0.355,0.513,0,NA,0.202,0,0.355,0.513,NA,2,0.355,0.513,0.355,0.513,0,NA,0.202,0,2.1,3,0.36,117.178,2.461,-0.0162600726753606
"136",126,"1992RATTLESNAKE","RATTLESNAKE",1992,"yes","Forest",1,"NPS","KNP",0,138,13,9.3,9,10,80.4,7.5,0,0,0.2,0,0,0,0.495,0.713,0.68,0.423,0,NA,0.334,0,0.495,0.713,NA,2,0.495,0.713,0.495,0.713,0,NA,0.315,0,1.84,7,0.45,189.728,3.488,-0.0155251798210556
"138",128,"1993BUCK_PEAK","BUCK PEAK",1993,"yes","Forest",1,"NPS","KNP",0,836,50,6,6,17,34.4,2.1,0,0,0,0,0,0,0.958,0.872,1.513,0.727,1.278,0.922,0.736,0.698,0.958,0.872,NA,3,0.958,0.872,0.958,0.872,0.98,0.892,0.581,0.596,2.4,21,1.35,154.691,3.719,-0.017920141461433
"139",130,"1994BARKLEY","BARKLEY",1994,"no","Forest",1,"CDF","TGU",71,18124,544,3,3,332,61,1.8,126.4,0.7,23.2,21.7,0.1,4,1.174,0.729,1.371,0.595,1.183,0.66,0.596,0.557,1.174,0.729,0.729,5,1.174,0.729,1.174,0.729,1.122,0.697,0.584,0.553,4.61,118,0.36,674.648,31.1,-0.00435821916988002
"143",134,"1994CREEK","CREEK",1994,"no","Forest",1,"CDF","TCU",85,591,103,17.4,17,77,75.2,13.1,12.8,2.2,12.5,0.4,0.1,0.4,0.733,0.667,0.927,0.446,0.689,0.497,0.416,0.348,0.733,0.667,0.667,3,0.733,0.667,0.733,0.667,0.642,0.584,0.404,0.345,4.11,25,0.27,367.828,15.135,-0.00764869489317999
"144",135,"1994FOUR_LANE","FOUR LANE",1994,"no","Forest",1,"CDF","FKU",93,90,23,25.8,25,23,99.6,25.7,0,0,0,0,0,0,0.025,0.037,0.025,0.037,0,NA,0.008,0,0.025,0.037,NA,2,0.025,0.037,0.025,0.037,0,NA,0.008,0,11.61,2,11.61,99.225,11.52,-0.0135381682839448
"146",137,"1994HORIZON","HORIZON",1994,"yes","Forest",1,"NPS","YNP",0,1337,66,4.9,4,21,31.4,1.5,1.9,0.1,2.9,0,0,0,1.096,0.998,1.512,0.727,1.173,0.846,0.743,0.673,1.096,0.998,NA,3,1.096,0.998,1.096,0.998,1.09,0.992,0.665,0.661,2.35,28,0.72,177.222,4.17,-0.0139330970048529
"151",142,"1995CASTLE","CASTLE WF",1995,"no","Forest",1,"NPS","KNP",0,736,17,2.3,2,3,15.3,0.4,0,0,0,0,0,0,0,NA,1.404,0.783,0.544,0.785,0.682,0.358,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.63,27,0.45,101.85,0.645,-0.0342432492518095
"154",146,"1996ACKERSON","ACKERSON",1996,"no","Forest",1,"NPS","YNP",19,24123,4078,16.9,16,319,7.8,1.3,949.8,3.9,23.3,254.8,1.1,6.2,1.824,0.937,2.006,0.807,1.861,0.895,0.835,0.821,2.954,0.956,0.956,22,2.954,0.956,2.596,0.882,2.612,0.887,0.89,0.89,5.17,788,0.45,451.19,23.347,-0.00531742011621389
"155",147,"1996BIG_ARROYO","BIG ARROYO",1996,"yes","Forest",1,"NPS","KNP",0,1410,48,3.4,3,7,14.9,0.5,0.1,0,0.3,0,0,0,0.421,0.607,1.574,0.809,1.029,0.936,0.752,0.62,0.421,0.607,NA,2,0.421,0.607,0.421,0.607,0.49,0.706,0.254,0.311,1.07,45,0.54,120.422,1.293,-0.0240609777471356
"157",149,"1996CASTLE_COMPLEX","CASTLE COMPLEX",1996,"no","Forest",1,"NPS","KNP",0,1148,48,4.2,4,11,22.3,0.9,0,0,0,0,0,0,1.053,0.958,1.486,0.764,1.184,0.854,0.705,0.64,1.053,0.958,NA,3,1.053,0.958,1.053,0.958,1.024,0.932,0.636,0.614,2,24,0.405,151.572,3.035,-0.0173672673580416
"158",421,"1996DIXIE","DIXIE FIRE",1996,"no","Forest",1,"CDF","LMU",NA,576,289,50.2,50,285,98.6,49.4,118.1,20.5,40.9,48.8,8.5,16.9,NA,NA,0.086,0.054,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,0.075,0.108,NA,NA,0.028,NA,48.135,6,0.36,219.772,105.787,-0.0025571952564415
"160",151,"1996HOSPITAL","HOSPITAL",1996,"no","Forest",1,"NPS","KNP",0,119,28,23.3,23,15,54.7,12.7,0.8,0.6,2.7,0,0,0,0.022,0.031,0.022,0.031,0,NA,0.006,0,0.708,0.644,NA,3,0.708,0.644,0.708,0.644,0.688,0.993,0.499,0.495,9.27,3,12.51,71.027,6.584,-0.00941436728634332
"161",152,"1996ILL","ILL",1996,"yes","Forest",1,"NPS","YNP",0,233,3,1.3,1,1,35.3,0.5,0,0,0,0,0,0,0,NA,0.907,0.826,0,NA,0.555,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.51,6,0.45,83.811,0.427,-0.0340536829887442
"162",153,"1996KAWEAH","KAWEAH",1996,"no","Forest",1,"NPS","KNP",0,1824,426,23.4,23,190,44.6,10.4,57.6,3.2,13.5,5.5,0.3,1.3,1.292,0.803,1.353,0.588,1.271,0.709,0.675,0.665,1.507,0.841,0.841,6,1.507,0.841,1.507,0.841,1.479,0.826,0.724,0.716,9.69,44,0.27,323.911,31.385,-0.00610500300888383
"163",154,"1996KENDRICK","KENDRICK",1996,"yes","Forest",1,"NPS","YNP",0,344,7,2.1,2,6,88.6,1.8,0,0,0,0,0,0,0.355,0.512,0.415,0.378,0,NA,0.206,0,0.355,0.512,NA,2,0.355,0.512,0.355,0.512,0,NA,0.202,0,2.37,3,0.63,117.51,2.785,-0.0180940863370686
"164",155,"1996KIBBIE","KIBBIE",1996,"no","Forest",1,"NPS","YNP",56,118,9,7.8,7,9,93.1,7.2,0,0,0,0,0,0,0.25,0.361,0.25,0.361,0,NA,0.128,0,0.25,0.361,NA,2,0.25,0.361,0.25,0.361,0,NA,0.128,0,4.59,2,4.59,86.275,3.96,-0.0148350244010786
"168",159,"1997AMPHITHEATER","AMPHITHEATER",1997,"no","Forest",1,"NPS","KNP",0,101,2,1.8,1,1,50,0.9,0,0,0,0,0,0,0,NA,0.423,0.61,NA,NA,0.255,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0.6,3,0.63,43.012,0.258,-0.0377177802916996
"170",162,"1997HUFFER","HUFFER",1997,"no","Forest",1,"NPS","LNP",0,927,192,20.7,20,130,67.8,14,51.8,5.6,27,6.2,0.7,3.3,0.967,0.697,1.045,0.503,0.997,0.619,0.506,0.497,0.967,0.697,0.697,4,0.967,0.697,0.967,0.697,0.952,0.687,0.502,0.495,14.73,13,1.53,232.516,34.255,-0.00439640812041588
"173",164,"1997SUGARLOAF","SUGARLOAF",1997,"yes","Forest",1,"NPS","KNP",0,135,7,5.1,5,5,78.9,4,0,0,0,0,0,0,0.515,0.742,0.774,0.481,0,NA,0.362,0,0.515,0.742,NA,2,0.515,0.742,0.515,0.742,0,NA,0.332,0,0.98,7,0.18,186.006,1.818,-0.0135856213536276
"182",428,"1999GUN2","GUN II",1999,"no","Forest",1,"CDF","TGU",NA,24609,1032,4.2,4,348,33.8,1.4,236.9,1,23,64.6,0.3,6.3,NA,NA,1.477,0.616,NA,NA,0.644,NA,NA,NA,NA,NA,NA,NA,1.57,0.682,NA,NA,0.653,NA,7.997,129,0.63,471.413,37.701,-0.00465672109685578
"187",176,"1999LECONTE","LECONTE",1999,"yes","Forest",1,"NPS","YNP",0,3584,325,9.1,9,104,32,2.9,15.8,0.4,4.9,1.2,0,0.4,1.22,0.88,1.846,0.84,1.45,0.901,0.805,0.737,1.309,0.813,0.813,5,1.309,0.813,1.309,0.813,1.369,0.851,0.687,0.713,1.45,224,0.27,499.747,7.245,-0.00412703596056267
"189",178,"1999LOST_BEAR","LOST BEAR",1999,"yes","Forest",1,"NPS","YNP",0,868,9,1,1,3,36.1,0.4,0,0,0,0,0,0,0,NA,1.352,0.755,0.692,0.998,0.688,0.499,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.79,11,0.36,119.605,0.949,-0.0288362625832293
"190",179,"1999LOST_VALLEY","LOST VALLEY",1999,"no","Forest",1,"NPS","YNP",0,363,33,9,9,6,18.6,1.7,0,0,0,0,0,0,0.481,0.694,1.476,0.759,1.069,0.973,0.739,0.648,0.481,0.694,NA,2,0.481,0.694,0.481,0.694,0.531,0.766,0.303,0.346,1.37,24,0.99,107.458,1.471,-0.0230227564822143
"205",192,"2000HIGHWAY","HIGHWAY",2000,"no","Forest",1,"CDF","FKU",80,273,29,10.7,10,15,50,5.3,0.9,0.3,3.1,0,0,0,1.021,0.929,1.258,0.647,0.869,0.791,0.639,0.539,1.021,0.929,NA,3,1.021,0.929,1.021,0.929,0.869,0.791,0.616,0.539,2.24,13,0.45,190.624,4.276,-0.0129575947694164
"214",200,"2001BURNT","BURNT",2001,"yes","Forest",1,"NPS","KNP",0,948,84,8.9,8,22,26,2.3,2.8,0.3,3.3,0,0,0,1.347,0.972,1.695,0.772,1.393,0.866,0.782,0.731,1.347,0.972,NA,4,1.347,0.972,1.347,0.972,1.336,0.964,0.732,0.725,2.47,34,0.63,183.788,4.539,-0.0148338347456614
"215",201,"2001DARBY","DARBY",2001,"no","Forest",1,"CDF","TCU",75,5830,1273,21.8,21,253,19.9,4.3,148.3,2.5,11.6,9.4,0.2,0.7,1.662,0.854,1.779,0.716,1.679,0.807,0.765,0.753,2.334,0.939,0.939,12,2.334,0.939,2.334,0.939,2.329,0.937,0.891,0.89,8.21,155,0.63,362.425,29.756,-0.00616720206624114
"218",203,"2001HOOVER","HOOVER",2001,"yes","Forest",1,"NPS","YNP",0,3054,317,10.4,10,80,25.3,2.6,34.6,1.1,10.9,6.1,0.2,1.9,1.372,0.853,1.647,0.715,1.454,0.811,0.73,0.701,1.673,0.934,0.934,6,1.673,0.934,1.673,0.934,1.668,0.931,0.799,0.795,3.41,93,0.45,311.68,10.62,-0.00961143886990602
"221",207,"2001MOORE","MOORE",2001,"no","Forest",1,"CDF","TCU",100,238,10,4.2,4,6,60,2.5,0,0,0,0,0,0,0.673,0.971,0.716,0.652,0.671,0.968,0.487,0.478,0.673,0.971,NA,2,0.673,0.971,0.673,0.971,0.671,0.968,0.48,0.478,3.3,3,3.87,73.395,2.422,-0.0196413613495855
"236",223,"2002PALISADE","PALISADE",2002,"yes","Forest",1,"NPS","KNP",0,612,111,18.2,18,34,30.4,5.5,3,0.5,2.7,0,0,0,1.347,0.972,1.718,0.826,1.51,0.939,0.791,0.762,1.513,0.94,NA,5,1.513,0.94,1.513,0.94,1.532,0.952,0.761,0.768,2.85,39,0.63,211.363,6.034,-0.0133282412067701
"249",233,"2003KIBBIE","KIBBIE CMPLX",2003,"yes","Forest",1,"NPS","YNP",53,2788,497,17.8,17,73,14.7,2.6,17.5,0.6,3.5,0,0,0,1.487,0.924,1.747,0.759,1.541,0.86,0.767,0.736,2.127,0.968,0.968,9,2.127,0.968,2.127,0.968,2.142,0.975,0.875,0.878,3.68,135,0.63,253.303,9.325,-0.0119075207743271
"256",239,"2003TUOLUMNE","TUOLUMNE",2003,"no","Forest",1,"NPS","YNP",0,1456,174,11.9,11,49,28.3,3.4,11,0.8,6.3,0,0,0,1.017,0.734,1.365,0.621,1.109,0.689,0.618,0.559,1.624,0.906,0.906,6,1.624,0.906,1.624,0.906,1.649,0.92,0.779,0.787,3.11,56,0.54,255.849,7.944,-0.0110102781947256
"257",240,"2003WEST_KERN","WEST KERN",2003,"yes","Forest",1,"NPS","KNP",56,3233,76,2.3,2,19,25,0.6,0.4,0,0.5,0,0,0,1.016,0.925,1.559,0.75,1.16,0.837,0.725,0.638,1.319,0.951,NA,4,1.319,0.951,1.319,0.951,1.365,0.985,0.714,0.74,1.72,44,0.36,209.745,3.6,-0.0155625244288643
"258",241,"2003WHISKEY","WHISKEY",2003,"yes","Forest",1,"NPS","YNP",0,455,61,13.4,13,14,23.7,3.2,2.4,0.5,3.9,0,0,0,1.047,0.953,1.26,0.647,1.036,0.943,0.662,0.623,1.047,0.953,NA,3,1.047,0.953,1.047,0.953,1.036,0.943,0.632,0.623,2.77,22,0.495,151.401,4.199,-0.0126405135456555
"260",243,"2003WILLIAMS","WILLIAMS",2003,"yes","Forest",1,"NPS","KNP",0,1478,48,3.2,3,18,38,1.2,1.8,0.1,3.9,0,0,0,1.012,0.921,1.666,0.801,1.287,0.929,0.768,0.696,1.012,0.921,NA,3,1.012,0.921,1.012,0.921,1.037,0.944,0.615,0.629,1.59,30,0.45,213.507,3.401,-0.014612912230644
"261",442,"2004BEAR","BEAR",2004,"no","Forest",1,"CDF","SHU",NA,4226,679,16.1,16,372,54.9,8.8,137.9,3.3,20.3,20,0.5,3,NA,NA,1.349,0.563,NA,NA,0.627,NA,NA,NA,NA,NA,NA,NA,1.279,0.658,NA,NA,0.625,NA,9.047,75,0.54,516.169,46.697,-0.00305114354012426
"262",244,"2004BLUFF","BLUFF",2004,"yes","Forest",1,"NPS","LNP",0,1379,81,5.9,5,12,14.9,0.9,0.3,0,0.4,0,0,0,0.998,0.908,1.649,0.793,1.243,0.896,0.76,0.684,0.998,0.908,NA,3,0.998,0.908,0.998,0.908,1.034,0.941,0.605,0.628,1.3,62,0.27,184.373,2.403,-0.0188255652019625
"268",250,"2004HETCHY","HETCHY",2004,"no","Forest",1,"NPS","YNP",0,784,148,18.9,18,54,36.6,6.9,0.8,0.1,0.6,0,0,0,1.31,0.945,1.667,0.759,1.432,0.89,0.762,0.728,1.31,0.945,0.945,4,1.31,0.945,1.31,0.945,1.3,0.938,0.716,0.709,2.7,55,0.36,327.492,8.826,-0.013859982646588
"269",251,"2004HOT_SPRINGS","HOTSPRINGS",2004,"yes","Forest",1,"NPS","KNP",0,135,49,36.5,36,41,84.1,30.7,1.2,0.9,2.5,0,0,0,0.439,0.633,0.64,0.357,0.428,0.39,0.284,0.215,0.439,0.633,0.633,2,0.439,0.633,0.439,0.633,0.365,0.526,0.268,0.21,4.47,11,0.36,262.116,11.709,-0.00722006014547983
"270",252,"2004MEADOW","MEADOW WFU",2004,"yes","Forest",1,"NPS","YNP",0,2036,292,14.3,14,38,13.1,1.9,6.3,0.3,2.2,0,0,0,1.294,0.933,1.581,0.719,1.407,0.874,0.734,0.708,1.815,0.933,NA,7,1.815,0.933,1.815,0.933,1.829,0.94,0.819,0.823,3.89,75,1.08,194.267,7.558,-0.0119401419265539
"275",257,"2004STRAYLOR","STRAYLOR",2004,"no","Forest",2,"CDF","LMU",96,1341,526,39.2,39,239,45.5,17.8,172.2,12.8,32.7,47,3.5,8.9,0.564,0.407,0.656,0.299,0.538,0.334,0.266,0.233,1.192,0.665,0.665,6,1.192,0.665,0.602,0.374,0.552,0.343,0.265,0.234,9.92,53,0.36,430.307,42.703,-0.00451060688972935
"277",259,"2005COMB","COMB",2005,"yes","Forest",1,"NPS","KNP",11,4143,398,9.6,9,73,18.4,1.8,23.4,0.6,5.9,0,0,0,1.528,0.95,1.922,0.835,1.657,0.925,0.825,0.79,1.946,0.936,0.936,8,1.946,0.936,1.946,0.936,2,0.962,0.838,0.855,2.37,168,0.36,313.498,7.433,-0.0118392573444832
"281",262,"2005LAUREL","LAUREL",2005,"yes","Forest",1,"NPS","YNP",0,195,7,3.5,3,6,82.7,2.9,0,0,0,0,0,0,0.461,0.665,0.67,0.416,0,NA,0.306,0,0.461,0.665,NA,2,0.461,0.665,0.461,0.665,0,NA,0.287,0,1.35,5,0.36,157.085,2.121,-0.0192293240679961
"282",263,"2005WAPAMA","WAPAMA",2005,"yes","Forest",1,"NPS","YNP",0,428,8,1.9,1,4,52.3,1,0,0,0,0,0,0,0,NA,1.064,0.768,0,NA,0.6,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.53,15,0.09,189.081,0.998,-0.0256309389858533
"287",268,"2006BOUNDARY","BOUNDARY",2006,"no","Forest",1,"NPS","YNP",0,192,10,5.2,5,9,89.1,4.6,0,0,0,0,0,0,0.345,0.497,0.439,0.317,0,NA,0.2,0,0.345,0.497,NA,2,0.345,0.497,0.345,0.497,0,NA,0.194,0,1.65,6,0.225,194.477,3.209,-0.0146304440197498
"289",270,"2006FROG","FROG",2006,"yes","Forest",1,"NPS","YNP",0,2502,57,2.3,2,16,27.7,0.6,1,0,1.8,0,0,0,0.904,0.823,1.83,0.88,1.28,0.924,0.817,0.697,0.904,0.823,NA,3,0.904,0.823,0.904,0.823,1.032,0.939,0.539,0.627,0.94,60,0.45,224.894,2.119,-0.0210419859112201
"296",276,"2006MIDDLET","MIDDLET",2006,"no","Forest",1,"NPS","YNP",0,192,12,6.1,6,10,82.3,5,0.1,0,0.7,0,0,0,0.467,0.673,0.609,0.439,0.358,0.517,0.307,0.205,0.467,0.673,NA,2,0.467,0.673,0.467,0.673,0.358,0.517,0.291,0.205,2.34,5,0.45,156.704,3.667,-0.0137654267552874
"308",288,"2007BABCOCK","BABCOCK",2007,"yes","Forest",1,"NPS","YNP",0,107,5,5,4,2,33.9,1.7,0,0,0,0,0,0,0,NA,1.169,0.843,0,NA,0.663,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.59,9,0.45,85.421,0.504,-0.0360931752844958
"309",289,"2007BALD","BALD WFU",2007,"yes","Forest",1,"NPS","YNP",0,169,26,15.5,15,12,43.8,6.8,0.3,0.2,1.2,0,0,0,1.068,0.972,1.397,0.78,1.225,0.884,0.706,0.672,1.068,0.972,NA,3,1.068,0.972,1.068,0.972,1.06,0.965,0.646,0.64,2.92,9,1.89,120.937,3.531,-0.0148236548541015
"331",451,"2008CORRAL","CORRAL",2008,"no","Forest",2,"CDF","LMU",NA,4879,1659,34,33,701,42.3,14.4,464.7,9.5,28,150.7,3.1,9.1,NA,NA,1.574,0.633,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA,2.056,0.779,NA,NA,0.786,NA,11.766,141,0.54,532.509,62.654,-0.00400749772308628
"342",318,"2008HIDDEN","HIDDEN",2008,"no","Forest",1,"NPS","KNP",0,1492,68,4.6,4,14,21,1,0.1,0,0.1,0,0,0,0.772,0.703,1.706,0.821,1.251,0.902,0.781,0.681,0.772,0.703,NA,3,0.772,0.703,0.772,0.703,0.873,0.795,0.445,0.519,1.26,54,0.495,175.863,2.216,-0.0195241758483518
"348",455,"2008MILL","MILL",2008,"no","Forest",1,"CDF","TGU",NA,5612,757,13.5,13,44,5.9,0.8,6.3,0.1,0.8,0,0,0,NA,NA,1.921,0.874,NA,NA,0.842,NA,NA,NA,NA,NA,NA,NA,1.583,0.813,NA,NA,0.715,NA,1.652,458,0.72,243.683,4.027,-0.0179608953365217
"370",340,"2009BIG_MEADOW","BIG MEADOW",2009,"no","Forest",1,"NPS","YNP",3,3091,485,15.7,15,159,32.9,5.2,73.7,2.4,15.2,11.9,0.4,2.4,1.507,0.936,1.729,0.751,1.532,0.855,0.78,0.751,1.723,0.885,0.885,7,1.723,0.885,1.723,0.885,1.706,0.877,0.791,0.781,4.07,119,0.54,386.647,15.747,-0.00623768268742205
"373",343,"2009CHALK","CHALK",2009,"no","Forest",1,"CDF","SHU",97,2786,483,17.4,17,257,53.1,9.2,87.3,3.1,18.1,15.3,0.6,3.2,1.326,0.824,1.472,0.639,1.35,0.753,0.668,0.648,1.422,0.793,0.793,6,1.422,0.793,1.422,0.793,1.393,0.778,0.669,0.655,7.01,69,0.54,455.718,31.932,-0.00634972122678727
