name,width,area_ha,prop.hs,sdc,sdc.name
1984BADGER,0.0,78.93001281539172,1.0,0.00934432102589205,0.0093
1984BADGER,10.0,61.658496309006566,0.7811793525641348,0.00934432102589205,0.0093
1984BADGER,20.0,47.73096589640793,0.6047251760625607,0.00934432102589205,0.0093
1984BADGER,30.0,37.36713519099411,0.47342112154968946,0.00934432102589205,0.0093
1984BADGER,40.0,30.15452528775162,0.3820413073830307,0.00934432102589205,0.0093
1984BADGER,50.0,24.7057580227501,0.31300841266216495,0.00934432102589205,0.0093
1984BADGER,60.0,20.628033679371942,0.2613458802752073,0.00934432102589205,0.0093
1984BADGER,70.0,17.772985562136476,0.22517398551176546,0.00934432102589205,0.0093
1984BADGER,80.0,15.612735837566067,0.19780480555707589,0.00934432102589205,0.0093
1984BADGER,90.0,13.738822491449145,0.17406335057340838,0.00934432102589205,0.0093
1984BADGER,100.0,12.038875890440416,0.15252595889725712,0.00934432102589205,0.0093
1984BADGER,110.0,10.516349137490097,0.13323637945031933,0.00934432102589205,0.0093
1984BADGER,120.0,9.177815064104738,0.11627788640514476,0.00934432102589205,0.0093
1984BADGER,130.0,7.929177323197669,0.10045833061934385,0.00934432102589205,0.0093
1984BADGER,140.0,6.762754880960633,0.0856803976046215,0.00934432102589205,0.0093
1984BADGER,150.0,5.677274567901077,0.07192795700134463,0.00934432102589205,0.0093
1984BADGER,160.0,4.671472089747288,0.05918499089406368,0.00934432102589205,0.0093
1984BADGER,170.0,3.7417595195922675,0.04740604221544744,0.00934432102589205,0.0093
1984BADGER,180.0,2.894086398338414,0.03666648838772333,0.00934432102589205,0.0093
1984BADGER,190.0,2.150228660074788,0.027242218560180994,0.00934432102589205,0.0093
1984BADGER,200.0,1.5327883148176524,0.01941958781132684,0.00934432102589205,0.0093
1984BADGER,210.0,1.0341583307435356,0.013102219217451716,0.00934432102589205,0.0093
1984BADGER,220.0,0.6386186296387348,0.008090948003928377,0.00934432102589205,0.0093
1984BADGER,230.0,0.34007732025678755,0.004308593247693872,0.00934432102589205,0.0093
1984BADGER,240.0,0.12449466104200499,0.0015772791185677845,0.00934432102589205,0.0093
1984BADGER,250.0,0.005459123988093703,6.916410872581473e-5,0.00934432102589205,0.0093
1984BADGER,260.0,0.0,0.0,0.00934432102589205,0.0093
1984YNP_023,0.0,9.540001814849973,1.0,0.027543350031245643,0.0275
1984YNP_023,10.0,5.396866088520356,0.5657091259793673,0.027543350031245643,0.0275
1984YNP_023,20.0,2.753182289255999,0.28859347646772915,0.027543350031245643,0.0275
1984YNP_023,30.0,1.309900056868669,0.13730605950511224,0.027543350031245643,0.0275
1984YNP_023,40.0,0.5288365520799434,0.055433590301498276,0.027543350031245643,0.0275
1984YNP_023,50.0,0.11450743142641032,0.012002873128196683,0.027543350031245643,0.0275
1984YNP_023,60.0,0.012226788779469599,0.001281633800156869,0.027543350031245643,0.0275
1984YNP_023,70.0,0.0,0.0,0.027543350031245643,0.0275
1985BARTLETT,0.0,88.64999571161779,1.0,0.011226786241690377,0.0112
1985BARTLETT,10.0,69.25032161505624,0.7811655382401876,0.011226786241690377,0.0112
1985BARTLETT,20.0,53.11129617176588,0.599112224940644,0.011226786241690377,0.0112
1985BARTLETT,30.0,40.560027721467364,0.45752994566870436,0.011226786241690377,0.0112
1985BARTLETT,40.0,31.476379791824456,0.35506352300589455,0.011226786241690377,0.0112
1985BARTLETT,50.0,24.420219168914073,0.2754677986489033,0.011226786241690377,0.0112
1985BARTLETT,60.0,19.152011406250015,0.21604074825397987,0.011226786241690377,0.0112
1985BARTLETT,70.0,14.872962668373468,0.16777172462315562,0.011226786241690377,0.0112
1985BARTLETT,80.0,11.439660790477308,0.12904299316258303,0.011226786241690377,0.0112
1985BARTLETT,90.0,8.62402270318012,0.09728170468540612,0.011226786241690377,0.0112
1985BARTLETT,100.0,6.414571186740112,0.07235839252160807,0.011226786241690377,0.0112
1985BARTLETT,110.0,4.68201808712367,0.052814645387626126,0.011226786241690377,0.0112
1985BARTLETT,120.0,3.4310523184742308,0.03870335571854498,0.011226786241690377,0.0112
1985BARTLETT,130.0,2.66473828241239,0.030059090934204863,0.011226786241690377,0.0112
1985BARTLETT,140.0,2.0250243932646774,0.02284291586264897,0.011226786241690377,0.0112
1985BARTLETT,150.0,1.4700598203826227,0.016582739892789054,0.011226786241690377,0.0112
1985BARTLETT,160.0,1.0003435444207538,0.011284191684282917,0.011226786241690377,0.0112
1985BARTLETT,170.0,0.6209337109373166,0.007004328719397127,0.011226786241690377,0.0112
1985BARTLETT,180.0,0.32899557840355237,0.0037111742167905905,0.011226786241690377,0.0112
1985BARTLETT,190.0,0.12006484599668564,0.0013543694507020811,0.011226786241690377,0.0112
1985BARTLETT,200.0,0.0,0.0,0.011226786241690377,0.0112
1985BUCK,0.0,24.389999842769786,1.0,0.0207182504882922,0.0207
1985BUCK,10.0,16.775573414174644,0.6878053924689804,0.0207182504882922,0.0207
1985BUCK,20.0,10.558162539691516,0.43288899580790263,0.0207182504882922,0.0207
1985BUCK,30.0,5.646863131244469,0.23152370511057774,0.0207182504882922,0.0207
1985BUCK,40.0,2.7038079548000487,0.11085723543379071,0.0207182504882922,0.0207
1985BUCK,50.0,1.0312156908691537,0.042280266400856456,0.0207182504882922,0.0207
1985BUCK,60.0,0.2786328050283956,0.011424059320401922,0.0207182504882922,0.0207
1985BUCK,70.0,0.04078773409527176,0.0016723138318249292,0.0207182504882922,0.0207
1985BUCK,80.0,0.0,0.0,0.0207182504882922,0.0207
